sistema,fraccion_pool,k_transacciones_revisadas,fraudes_en_top_k,precision_at_k,recall_at_k,lift_at_k
Baseline historico,1%,210,70,0.3333333333333333,0.03333333333333333,3.333333333333333
Baseline historico,5%,1050,273,0.26,0.13,2.6
Baseline historico,10%,2100,540,0.2571428571428571,0.2571428571428571,2.571428571428571
XGBoost optimizado,1%,210,210,1.0,0.1,10.0
XGBoost optimizado,5%,1050,1049,0.9990476190476191,0.49952380952380954,9.99047619047619
XGBoost optimizado,10%,2100,1870,0.8904761904761904,0.8904761904761904,8.904761904761903
